,Source,ddof1,H,p-unc
0,Optimization,2,14.852490150227364,0.0005954190735092139
1,Model,3,337.03259458859407,9.579897982073964e-73
2,Combination,11,352.02508040407184,9.036424142493551e-69
,Source,ddof1,H,p-unc
0,Optimization,2,14.989257815671165,0.0005560630294405399
1,Model,3,337.25705175241296,8.565729351919988e-73
2,Combination,11,352.67587975029824,6.580611156921595e-69
,Source,ddof1,H,p-unc
0,Optimization,2,8.40458140734518,0.014961265710878278
1,Model,3,317.38715084180456,1.7153492112208123e-68
2,Combination,11,327.3059767772824,1.521402520485569e-63
,Source,ddof1,H,p-unc
0,Optimization,2,15.04030823322772,0.0005420490206483147
1,Model,3,337.1349704410627,9.103236219029212e-73
2,Combination,11,352.2843500073941,7.96393100292792e-69
,Source,ddof1,H,p-unc
0,Optimization,2,20.098256022111975,4.3223422979294056e-05
1,Model,3,329.55064362503254,3.992087194032288e-71
2,Combination,11,350.6608392682489,1.7566817670194467e-68
,Source,ddof1,H,p-unc
0,Optimization,2,4.993497854037492,0.08235229721326837
1,Model,3,308.5890121377182,1.3765065893172008e-66
2,Combination,11,317.0527387715829,2.222786383378101e-61
,Source,ddof1,H,p-unc
0,Optimization,2,8.586262442452183,0.013662079259590459
1,Model,3,337.7479623374584,6.706230289895202e-73
2,Combination,11,349.16952510485515,3.6328454741579472e-68
,Source,ddof1,H,p-unc
0,Optimization,2,15.29482881004371,0.0004772765789532129
1,Model,3,337.3531280098832,8.165130709095872e-73
2,Combination,11,353.5378132341019,4.323573614129324e-69
,Source,ddof1,H,p-unc
0,Optimization,2,10.059891644723088,0.006539164837460676
1,Model,3,329.79063102915126,3.541967241056258e-71
2,Combination,11,340.4343339118318,2.557688055772188e-66
,Source,ddof1,H,p-unc
0,Optimization,2,6.372693687480311,0.04132255328261339
1,Model,3,337.5669091534314,7.33969326716377e-73
2,Combination,11,349.4665239494962,3.143448951514374e-68
,Source,ddof1,H,p-unc
0,Optimization,2,15.027392283838195,0.0005455608870739174
1,Model,3,337.64486542701894,7.059919804740648e-73
2,Combination,11,353.03025197070554,5.536900722244069e-69
,Source,ddof1,H,p-unc
0,Optimization,2,7.205750434562801,0.027245273641045488
1,Model,3,330.2604980716123,2.8023444175189262e-71
2,Combination,11,339.47332137087585,4.083542764686988e-66
